Description,TotalQuantity,TotalRevenue,TotalOrders,AvgMonthlyDemand,ReorderPoint,InventoryStatus
BLUE SAVANNAH PICNIC HAMPER FOR 4,310,1654.5,24,12.4,18.6,Low Demand
BLUE SCANDINAVIAN PAISLEY WRAP,3225,1338.5,116,129.0,193.5,High Demand
BLUE SCOTTIE DOG W FLOWER PATTERN,224,565.8,52,8.96,13.440000000000001,Low Demand
BLUE SHARK HELICOPTER,49,389.55,39,1.96,2.94,Low Demand
BLUE SHELL+SILVER NECKLACE,12,90.0,7,0.48,0.72,Low Demand
BLUE SPOT CERAMIC DRAWER KNOB,8204,10078.48,580,328.16,492.24,High Demand
BLUE SPOTS  WRAP,6350,2555.0,196,254.0,381.0,High Demand
BLUE SPOTTY BEAKER ,108,210.6,20,4.32,6.48,Low Demand
BLUE SPOTTY BOWL,2700,3197.16,258,108.0,162.0,High Demand
BLUE SPOTTY LUGGAGE TAG ,1058,488.5,44,42.32,63.480000000000004,Medium Demand
BLUE SPOTTY PASSPORT COVER,222,341.2,38,8.88,13.32,Low Demand
BLUE SPOTTY PURSE ,434,446.30000000000007,30,17.36,26.04,Low Demand
BLUE SQUARE COMPACT MIRROR,371,483.75,37,14.84,22.259999999999998,Low Demand
BLUE STAR BLOCK TABLE LAMP,103,303.85,4,4.12,6.18,Low Demand
BLUE STONES ON WIRE FOR CANDLE,795,65.94,34,31.8,47.7,Medium Demand
BLUE STRIPE CERAMIC DRAWER KNOB,10073,12338.81,639,402.92,604.38,High Demand
BLUE STRIPES SHOULDER BAG,11,13.370000000000001,4,0.44,0.66,Low Demand
BLUE SWEETHEART BRACELET,134,569.5,40,5.36,8.040000000000001,Low Demand
BLUE TABLE RUN FLOWER,48,67.5,14,1.92,2.88,Low Demand
BLUE TALL PORCELAIN T-LIGHT HOLDER,7,17.849999999999998,3,0.28,0.42000000000000004,Low Demand
BLUE TEA TOWEL CLASSIC DESIGN,2286,2693.34,201,91.44,137.16,Medium Demand
BLUE TEATIME PRINT BOWL ,742,913.82,106,29.68,44.519999999999996,Medium Demand
BLUE TILED SET OF 3 DRAWERS,5,63.75,1,0.2,0.30000000000000004,Low Demand
BLUE TILED TRAY,273,402.75,15,10.92,16.38,Low Demand
BLUE TINSEL GARLAND ,130,24.7,12,5.2,7.800000000000001,Low Demand
BLUE TRAVEL FIRST AID KIT,79,130.35,28,3.16,4.74,Low Demand
BLUE TV TRAY TABLE ,158,513.74,45,6.32,9.48,Low Demand
BLUE VICTORIAN FABRIC HEART BOX,722,233.43,19,28.88,43.32,Medium Demand
BLUE VICTORIAN FABRIC OVAL BOX,1665,605.57,78,66.6,99.89999999999999,Medium Demand
BLUE VINTAGE SPOT BEAKER,4901,4528.29,164,196.04,294.06,High Demand
BLUE WHITE PLASTIC RINGS LAMPSHADE,15,12.75,6,0.6,0.8999999999999999,Low Demand
BLUE WHITE SCARF HOT WATER BOTTLE,16,63.2,6,0.64,0.96,Low Demand
BLUE WHITE SPOTS GARDEN PARASOL,271,1394.45,55,10.84,16.259999999999998,Low Demand
BLUE WIRE SPIRAL CANDLE HOLDER,52,330.2,22,2.08,3.12,Low Demand
BLUE YELLOW FLOWER PIGGY BANK,488,937.1999999999999,43,19.52,29.28,Low Demand
BLUE/BROWN DOTS RUFFLED UMBRELLA,539,2167.85,65,21.56,32.339999999999996,Medium Demand
BLUE/CREAM STRIPE CUSHION COVER ,1219,1508.55,171,48.76,73.14,Medium Demand
BLUE/CREAM STRIPE FRINGE HAMMOCK,304,2307.8,112,12.16,18.240000000000002,Low Demand
BLUE/GREEN SHELL NECKLACE W PENDANT,6,35.7,4,0.24,0.36,Low Demand
BLUE/NAT SHELL NECKLACE W PENDANT,7,41.650000000000006,4,0.28,0.42000000000000004,Low Demand
BLUE/PINK NEST STRIPE BOX,1142,111.12,5,45.68,68.52,Medium Demand
BLUE/WHITE RIBBED MELAMINE JUG,7,55.650000000000006,5,0.28,0.42000000000000004,Low Demand
BLUE/YELLOW CERAMIC CANDLE HOLDER,10,16.5,5,0.4,0.6000000000000001,Low Demand
BLUE/YELLOW FLOWER DESIGN BIG MUG,39,32.37,17,1.56,2.34,Low Demand
BOHEMIAN COLLAGE STATIONERY SET,876,1339.88,137,35.04,52.56,Medium Demand
BOMBS AWAY METAL SIGN,1179,2387.34,163,47.16,70.74,Medium Demand
BOOM BOX SPEAKER BOYS,745,3754.05,103,29.8,44.7,Medium Demand
BOOM BOX SPEAKER GIRLS,520,1035.4,57,20.8,31.200000000000003,Medium Demand
BOOZE & WOMEN GREETING CARD ,926,383.16,68,37.04,55.56,Medium Demand
BOTANICAL GARDENS WALL CLOCK ,259,5719.0,80,10.36,15.54,Low Demand
BOTANICAL LAVENDER BIRTHDAY CARD,975,414.21,80,39.0,58.5,Medium Demand
BOTANICAL LAVENDER GIFT WRAP ,1150,481.0,45,46.0,69.0,Medium Demand
BOTANICAL LILY GIFT WRAP,850,353.0,30,34.0,51.0,Medium Demand
BOTANICAL LILY GREETING CARD,903,378.42,74,36.12,54.17999999999999,Medium Demand
BOTANICAL ROSE GIFT WRAP,2815,1144.3,94,112.6,168.89999999999998,High Demand
BOTANICAL ROSE GREETING CARD,1564,649.6800000000001,107,62.56,93.84,Medium Demand
BOTTLE BAG RETROSPOT ,3214,5745.49,288,128.56,192.84,High Demand
BOUDOIR SQUARE TISSUE BOX,2789,1735.72,231,111.56,167.34,High Demand
BOX OF 24 COCKTAIL PARASOLS,17637,7101.35,721,705.48,1058.22,High Demand
BOX OF 3 PEBBLE CANDLES,1,2.95,1,0.04,0.06,Low Demand
BOX OF 6 ASSORTED COLOUR TEASPOONS,437,1871.49,105,17.48,26.22,Low Demand
BOX OF 6 CHRISTMAS CAKE DECORATIONS,1712,6155.04,163,68.48,102.72,Medium Demand
BOX OF 6 MINI 50'S CRACKERS,3539,8216.79,365,141.56,212.34,High Demand
BOX OF 6 MINI VINTAGE CRACKERS,3647,8350.41,329,145.88,218.82,High Demand
BOX OF 6 PEBBLE CANDLES,5,17.25,4,0.2,0.30000000000000004,Low Demand
BOX OF 9 PEBBLE CANDLES,1694,3177.0,244,67.76,101.64000000000001,Medium Demand
BOX OF VINTAGE ALPHABET BLOCKS,3119,29731.56,511,124.76,187.14000000000001,High Demand
BOX OF VINTAGE JIGSAW BLOCKS ,2235,11329.42,500,89.4,134.10000000000002,Medium Demand
BOX/12 CHICK & EGG IN BASKET,256,483.59999999999997,89,10.24,15.36,Low Demand
BOX/12 MOTHER & CHICK IN BASKET/BOW,99,228.45,26,3.96,5.9399999999999995,Low Demand
BOYS ALPHABET IRON ON PATCHES,18241,3542.61,41,729.64,1094.46,High Demand
BOYS VINTAGE TIN SEASIDE BUCKET,3365,7818.53,306,134.6,201.89999999999998,High Demand
BREAD BIN DINER STYLE BLACK,8,123.6,1,0.32,0.48,Low Demand
BREAD BIN DINER STYLE IVORY,1078,16779.34,435,43.12,64.67999999999999,Medium Demand
BREAD BIN DINER STYLE MINT,379,5837.8099999999995,147,15.16,22.740000000000002,Low Demand
BREAD BIN DINER STYLE PINK,368,5621.05,130,14.72,22.080000000000002,Low Demand
BREAD BIN DINER STYLE RED ,801,12347.56,309,32.04,48.06,Medium Demand
"BREAD BIN, DINER STYLE, IVORY",49,742.55,10,1.96,2.94,Low Demand
"BREAD BIN, DINER STYLE, MINT",17,256.15,4,0.68,1.02,Low Demand
"BREAD BIN, DINER STYLE, PINK",8,127.6,3,0.32,0.48,Low Demand
"BREAD BIN, DINER STYLE, RED ",3,50.849999999999994,2,0.12,0.18,Low Demand
BRIGHT BLUES RIBBONS ,2331,2886.39,372,93.24,139.85999999999999,Medium Demand
"BROCADE PURSE,SMALL ARCH BUTTON",3279,867.55,68,131.16,196.74,High Demand
BROCADE RING PURSE ,71129,14827.71,387,2845.16,4267.74,High Demand
BROCANTE COAT RACK,466,3679.6,68,18.64,27.96,Low Demand
BROCANTE SHELF WITH HOOKS,172,1827.4,75,6.88,10.32,Low Demand
BROWN  PIRATE TREASURE CHEST ,606,863.28,82,24.24,36.36,Medium Demand
BROWN ANTIQUE CUBE CANDLE,226,94.92,18,9.04,13.559999999999999,Low Demand
BROWN CHECK CAT DOORSTOP ,1143,4670.0,329,45.72,68.58,Medium Demand
BROWN COZY SQUARE PHOTO ALBUM,205,399.75,1,8.2,12.299999999999999,Low Demand
BROWN DOG CANNISTER W BONE,4,23.8,3,0.16,0.24,Low Demand
BROWN FLOWER LIGHTS,109,688.95,24,4.36,6.540000000000001,Low Demand
BROWN FURRY HOT WATER BOTTLE,191,665.05,38,7.64,11.459999999999999,Low Demand
BROWN KUKUI COCONUT SEED NECKLACE,81,115.65,10,3.24,4.86,Low Demand
BROWN VINTAGE VICTORIAN EARRINGS,12,35.400000000000006,2,0.48,0.72,Low Demand
BUBBLE GUM CHUNKY KNITTED THROW ,5,84.75,4,0.2,0.30000000000000004,Low Demand
BUBBLE GUM SCARF KNITTING KIT,306,576.3000000000001,46,12.24,18.36,Low Demand
BUBBLEGUM RING ASSORTED,11891,4894.83,213,475.64,713.46,High Demand
BUDDHA INCENSE HOLDER ASSORTED,2176,1587.24,53,87.04,130.56,Medium Demand
BUFFALO BILL TREASURE BOOK BOX,1855,3768.57,137,74.2,111.30000000000001,Medium Demand
BUFFALO BILL WALL ART ,246,845.22,15,9.84,14.76,Low Demand
BULL DOG BOTTLE OPENER,778,3749.5,197,31.12,46.68,Medium Demand
BULL DOG BOTTLE TOP WALL CLOCK,185,1484.25,69,7.4,11.100000000000001,Low Demand
BUNDLE OF 3 ALPHABET EXERCISE BOOKS,3286,5225.22,312,131.44,197.16,High Demand
BUNDLE OF 3 RETRO EXERCISE BOOKS,60,99.0,5,2.4,3.5999999999999996,Low Demand
BUNDLE OF 3 RETRO NOTE BOOKS,2116,3421.4,240,84.64,126.96000000000001,Medium Demand
BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,1678,2691.14,179,67.12,100.68,Medium Demand
BUNNY BUNCH OF FLOWERS,14,5.88,2,0.56,0.8400000000000001,Low Demand
BUNNY DECORATION MAGIC GARDEN,977,797.17,102,39.08,58.62,Medium Demand
BUNNY EGG BOX,1009,1256.45,94,40.36,60.54,Medium Demand
BUNNY EGG GARLAND,1179,495.18,79,47.16,70.74,Medium Demand
BUNNY WOODEN PAINTED WITH BIRD ,1479,1131.11,175,59.16,88.74,Medium Demand
BUNNY WOODEN PAINTED WITH FLOWER ,860,644.52,114,34.4,51.599999999999994,Medium Demand
"BUNTING , SPOTTY ",146,634.7,7,5.84,8.76,Low Demand
BURG FLOCK GOLD CUP/CANDLE ,127,53.34,6,5.08,7.62,Low Demand
BUTTERFLIES  HONEYCOMB GARLAND,1447,2243.55,106,57.88,86.82000000000001,Medium Demand
BUTTERFLIES STICKERS,1613,1372.61,160,64.52,96.78,Medium Demand
BUTTERFLY CROCHET FOOD COVER,622,2147.92,118,24.88,37.32,Medium Demand
BUTTERFLY CUSHION COVER,8,30.0,2,0.32,0.48,Low Demand
BUTTERFLY HAIR BAND,16,40.8,4,0.64,0.96,Low Demand
BUTTERFLY WATER TRANSFER TATTOOS ,267,186.95,13,10.68,16.02,Low Demand
BUTTON BOX ,2242,4244.16,231,89.68,134.52,Medium Demand
BUTTONS AND STRIPES NOTEBOOK ,93,348.75,32,3.72,5.58,Low Demand
BUTTONS DESIGN JEWELLERY BOX,72,270.0,28,2.88,4.32,Low Demand
Bank Charges,30,435.001,28,1.2,1.7999999999999998,Low Demand
CABIN BAG VINTAGE PAISLEY,112,2626.7999999999997,35,4.48,6.720000000000001,Low Demand
CABIN BAG VINTAGE RETROSPOT,277,6216.55,76,11.08,16.62,Low Demand
CACTI T-LIGHT CANDLES,15654,6275.96,409,626.16,939.24,High Demand
CAKE PLATE LOVEBIRD PINK,560,2065.2,125,22.4,33.599999999999994,Medium Demand
CAKE PLATE LOVEBIRD WHITE,1229,4561.95,297,49.16,73.74,Medium Demand
CAKE SHOP  STICKER SHEET,1037,866.89,87,41.48,62.22,Medium Demand
CAKE STAND 3 TIER MAGIC GARDEN,1088,13108.8,391,43.52,65.28,Medium Demand
CAKE STAND LACE WHITE,1116,4419.5,183,44.64,66.96000000000001,Medium Demand
CAKE STAND LOVEBIRD 2 TIER PINK,885,6348.95,138,35.4,53.099999999999994,Medium Demand
CAKE STAND LOVEBIRD 2 TIER WHITE,713,6249.95,244,28.52,42.78,Medium Demand
CAKE STAND VICTORIAN FILIGREE LARGE,269,1617.7,71,10.76,16.14,Low Demand
CAKE STAND VICTORIAN FILIGREE MED,292,1505.55,63,11.68,17.52,Low Demand
CAKE STAND VICTORIAN FILIGREE SMALL,361,1238.95,65,14.44,21.66,Low Demand
CAKE STAND WHITE TWO TIER LACE,1042,8117.8,319,41.68,62.519999999999996,Medium Demand
"CAKE TIN, 3 TIER MINT/IVORY",13,176.75,4,0.52,0.78,Low Demand
"CAKE TIN, 3 TIER RED/IVORY",28,383.4,8,1.12,1.6800000000000002,Low Demand
"CAKE TIN, ROUND, VINTAGE MINT,IVORY",27,190.65,4,1.08,1.62,Low Demand
"CAKE TIN, ROUND, VINTAGE RED,CREAM",59,421.05,10,2.36,3.54,Low Demand
CAKES AND BOWS GIFT  TAPE,1234,458.66,68,49.36,74.03999999999999,Medium Demand
CAKES AND RABBITS DESIGN FLANNEL ,387,304.83,41,15.48,23.22,Low Demand
"CAKESTAND, 3 TIER, LOVEHEART",48,425.4,7,1.92,2.88,Low Demand
CALENDAR FAMILY FAVORITES,20,59.0,4,0.8,1.2000000000000002,Low Demand
CALENDAR FAMILY FAVOURITES,685,1868.8300000000002,50,27.4,41.099999999999994,Medium Demand
CALENDAR IN SEASON DESIGN,947,2577.0400000000004,143,37.88,56.82000000000001,Medium Demand
CALENDAR PAPER CUT DESIGN,3241,9245.990000000002,398,129.64,194.45999999999998,High Demand
CAMOFLAGE CUSHION COVER,11,18.15,1,0.44,0.66,Low Demand
CAMOFLAGE DESIGN TEDDY,1584,3358.8,42,63.36,95.03999999999999,Medium Demand
CAMOUFLAGE BACKPACK ON WHEELS,2,19.9,1,0.08,0.12,Low Demand
CAMOUFLAGE DESIGN TEDDY,2223,4720.05,62,88.92,133.38,Medium Demand
CAMOUFLAGE EAR MUFF HEADPHONES,113,622.13,51,4.52,6.779999999999999,Low Demand
CAMOUFLAGE LED TORCH,6237,10273.65,337,249.48,374.21999999999997,High Demand
CAMPHOR WOOD PORTOBELLO MUSHROOM,511,417.77,45,20.44,30.660000000000004,Medium Demand
CANDLE HOLDER SILVER MADELINE,193,315.29,18,7.72,11.58,Low Demand
"CANDLE IN JAR COLLAGE , VANILLA",65,165.75,12,2.6,3.9000000000000004,Low Demand
CANDLE PLATE LACE WHITE,462,1069.3,52,18.48,27.72,Low Demand
CANDLE RING W/CLEAR BEADS,13,5.46,3,0.52,0.78,Low Demand
CANDLEHOLDER PINK HANGING HEART,4198,11768.5,521,167.92,251.88,High Demand
CANDY BUTTON PHOTO ALBUM,295,631.25,21,11.8,17.700000000000003,Low Demand
CANDY HEART HANGING DECORATION,1454,867.96,66,58.16,87.24,Medium Demand
CANDY PINK FRENCH BOUDOIR CLOCK,16,159.2,11,0.64,0.96,Low Demand
CANDY POP CHUNKY KNITTED THROW ,15,254.25,10,0.6,0.8999999999999999,Low Demand
CANDY SHOP  STICKER SHEET,1043,883.43,89,41.72,62.58,Medium Demand
CANDY SPOT APRON,82,381.3,35,3.28,4.92,Low Demand
CANDY SPOT BREAD BASKETS,337,487.35,14,13.48,20.22,Low Demand
CANDY SPOT BUNNY,92,264.20000000000005,18,3.68,5.5200000000000005,Low Demand
CANDY SPOT CUSHION COVER,113,325.11000000000007,21,4.52,6.779999999999999,Low Demand
CANDY SPOT EGG WARMER HARE,1045,693.99,59,41.8,62.699999999999996,Medium Demand
CANDY SPOT EGG WARMER RABBIT,611,212.87,42,24.44,36.660000000000004,Medium Demand
CANDY SPOT HAND BAG,273,563.77,44,10.92,16.38,Low Demand
CANDY SPOT HEART DECORATION,396,336.59999999999997,49,15.84,23.759999999999998,Low Demand
CANDY SPOT TEA COSY,374,534.7,14,14.96,22.44,Low Demand
CANDY STRIPE ROSE C/COVER ,51,303.45,19,2.04,3.06,Low Demand
CANDY STRIPE ROSE FLOOR CUSHION,6,47.7,2,0.24,0.36,Low Demand
CANDY STRIPE ROSE QUILT,1,45.95,1,0.04,0.06,Low Demand
CANNABIS LEAF BEAD CURTAIN,48,40.8,3,1.92,2.88,Low Demand
CANNISTER VINTAGE LEAF DESIGN,12,23.4,2,0.48,0.72,Low Demand
CAPIZ CHANDELIER,5,149.75,3,0.2,0.30000000000000004,Low Demand
CARAVAN SQUARE TISSUE BOX,2046,1359.48,214,81.84,122.76,Medium Demand
CARD BILLBOARD FONT,5326,2189.43,335,213.04,319.56,High Demand
CARD BIRTHDAY COWBOY,5133,2032.05,253,205.32,307.98,High Demand
CARD CAT AND TREE ,2544,1055.52,170,101.76,152.64000000000001,High Demand
CARD CHRISTMAS VILLAGE,5898,2455.56,288,235.92,353.88,High Demand
CARD CIRCUS PARADE,5128,2111.79,341,205.12,307.68,High Demand
CARD DOG AND BALL ,2358,964.44,152,94.32,141.48,Medium Demand
CARD DOLLY GIRL ,7153,2838.21,345,286.12,429.18,High Demand
CARD GINGHAM ROSE ,2762,1109.02,144,110.48,165.72,High Demand
CARD HOLDER GINGHAM HEART,2589,6662.01,398,103.56,155.34,High Demand
CARD HOLDER LOVE BIRD LARGE ,220,1323.4,75,8.8,13.200000000000001,Low Demand
CARD HOLDER LOVE BIRD SMALL,320,1255.76,63,12.8,19.200000000000003,Low Demand
CARD I LOVE LONDON ,5793,2284.84,240,231.72,347.58,High Demand
CARD MOTORBIKE SANTA,6416,2630.64,299,256.64,384.96,High Demand
CARD PARTY GAMES ,2174,878.52,135,86.96,130.44,Medium Demand
CARD PSYCHEDELIC APPLES,2662,1100.76,165,106.48,159.72,High Demand
CARD SUKI BIRTHDAY,2602,1066.92,169,104.08,156.12,High Demand
CARD WEDDING DAY,2658,1086.1200000000001,168,106.32,159.48,High Demand
"CARD, BILLBOARD FONT",1278,519.48,74,51.12,76.67999999999999,Medium Demand
"CARD, GINGHAM ROSE ",504,211.68,40,20.16,30.240000000000002,Medium Demand
CARDHOLDER GINGHAM CHRISTMAS TREE,1296,3504.7400000000002,174,51.84,77.76,Medium Demand
CARDHOLDER GINGHAM HEART,102,216.9,2,4.08,6.12,Low Demand
CARDHOLDER GINGHAM STAR,1280,3337.64,197,51.2,76.80000000000001,Medium Demand
CARDHOLDER HOLLY WREATH METAL,1833,6801.85,251,73.32,109.97999999999999,Medium Demand
CARNATION SQUARE HANDY TIN,42,52.5,14,1.68,2.52,Low Demand
CARNIVAL BRACELET,115,1456.0,38,4.6,6.8999999999999995,Low Demand
CAROUSEL CHILDRENS APRON,11,18.15,3,0.44,0.66,Low Demand
CAROUSEL CHILDRENS OVERALL,38,79.8,4,1.52,2.2800000000000002,Low Demand
CAROUSEL DES CHILD'S APRON,87,143.54999999999998,33,3.48,5.22,Low Demand
CAROUSEL DES CHILD'S OVERALL,156,327.6,32,6.24,9.36,Low Demand
CAROUSEL DESIGN BABY BIB,75,93.75,14,3.0,4.5,Low Demand
CAROUSEL DESIGN WASHBAG,281,547.9499999999999,74,11.24,16.86,Low Demand
CAROUSEL PLACEMATS ,2,7.5,2,0.08,0.12,Low Demand
CAROUSEL PONIES BABY BIB,115,116.87,28,4.6,6.8999999999999995,Low Demand
CARRIAGE,254,12796.0,248,10.16,15.24,Low Demand
CARROT CHARLIE+LOLA COASTER SET,801,1538.89,156,32.04,48.06,Medium Demand
CARTOON  PENCIL SHARPENERS,4525,375.6,70,181.0,271.5,High Demand
CAST IRON HOOK GARDEN FORK,1493,3614.91,151,59.72,89.58,Medium Demand
CAST IRON HOOK GARDEN TROWEL,1348,3195.56,148,53.92,80.88,Medium Demand
CAT AND BIRD WALL ART,270,323.64,4,10.8,16.200000000000003,Low Demand
CAT BOWL ,862,2057.7,97,34.48,51.72,Medium Demand
CAT BOWL VINTAGE CREAM,537,1729.45,123,21.48,32.22,Medium Demand
"CAT BOWL, ENAMEL , CREAM COLOUR",12,39.0,2,0.48,0.72,Low Demand
"CAT FOOD CONTAINER , VINTAGE",10,63.5,3,0.4,0.6000000000000001,Low Demand
CAT W SUNGLASSES BLANK CARD,4,0.76,1,0.16,0.24,Low Demand
CAT WITH SUNGLASSES BLANK CARD,5,0.95,1,0.2,0.30000000000000004,Low Demand
CD WALL TIDY BLUE OFFICE,213,77.94000000000001,9,8.52,12.78,Low Demand
CD WALL TIDY RED FLOWERS,300,111.60000000000001,12,12.0,18.0,Low Demand
CERAMIC BIRDHOUSE BLACK ROSE  LARGE,163,811.6,32,6.52,9.78,Low Demand
CERAMIC BIRDHOUSE BUTTERFLY LARGE,165,772.95,19,6.6,9.899999999999999,Low Demand
CERAMIC BIRDHOUSE BUTTERFLY SMALL,679,1530.0,64,27.16,40.74,Medium Demand
CERAMIC BIRDHOUSE CRESTED TIT LARGE,291,1473.45,56,11.64,17.46,Low Demand
CERAMIC BIRDHOUSE CRESTED TIT SMALL,692,1686.0500000000002,90,27.68,41.519999999999996,Medium Demand
CERAMIC BIRDHOUSE FINCH BLUE  LARGE,76,399.55,27,3.04,4.5600000000000005,Low Demand
CERAMIC BIRDHOUSE FINCH BLUE ROOF,650,1562.15,77,26.0,39.0,Medium Demand
CERAMIC BIRDHOUSE RED ROOF LARGE,164,735.8000000000001,19,6.56,9.84,Low Demand
CERAMIC BIRDHOUSE RED ROOF SMALL,539,1222.8500000000001,44,21.56,32.339999999999996,Medium Demand
CERAMIC BOWL WITH LOVE HEART DESIGN,719,1061.49,93,28.76,43.14,Medium Demand
CERAMIC BOWL WITH STRAWBERRY DESIGN,2185,5603.35,258,87.4,131.10000000000002,Medium Demand
CERAMIC CAKE BOWL + HANGING CAKES,2363,6475.25,313,94.52,141.78,Medium Demand
CERAMIC CAKE DESIGN SPOTTED MUG,4485,6443.61,433,179.4,269.1,High Demand
CERAMIC CAKE DESIGN SPOTTED PLATE,2725,3924.6499999999996,264,109.0,163.5,High Demand
CERAMIC CAKE STAND + HANGING CAKES,2311,20531.28,410,92.44,138.66,Medium Demand
CERAMIC CAKE TEAPOT WITH CHERRY,1,4.95,1,0.04,0.06,Low Demand
CERAMIC CHERRY CAKE MONEY BANK,4800,6316.679999999999,465,192.0,288.0,High Demand
CERAMIC HEART CAKE MONEY BANK,120,159.6,5,4.8,7.199999999999999,Low Demand
CERAMIC HEART FAIRY CAKE MONEY BANK,4795,6562.63,551,191.8,287.70000000000005,High Demand
CERAMIC LOVE HEART MONEY BANK,1050,878.0999999999999,68,42.0,63.0,Medium Demand
CERAMIC LOVE HEARTS DESIGN MUG,511,761.39,92,20.44,30.660000000000004,Medium Demand
CERAMIC PIRATE CHEST MONEY BANK,1751,2493.35,221,70.04,105.06,Medium Demand
CERAMIC PLATE LOVE HEART DESIGN,600,625.8,25,24.0,36.0,Medium Demand
CERAMIC PLATE STRAWBERRY DESIGN,2924,3515.64,173,116.96,175.44,High Demand
CERAMIC STRAWBERRY CAKE MONEY BANK,8890,11689.26,697,355.6,533.4000000000001,High Demand
CERAMIC STRAWBERRY DESIGN MUG,2655,3230.95,199,106.2,159.3,High Demand
CERAMIC STRAWBERRY MONEY BOX,1386,3321.9,174,55.44,83.16,Medium Demand
CERAMIC STRAWBERRY TRINKET TRAY,322,799.5,51,12.88,19.32,Low Demand
CERAMIC STRWBERRY DESIGN MUG,2288,3158.56,166,91.52,137.28,Medium Demand
CERISE+GOLD CHRISTMAS STOCKING DEC,188,71.44,17,7.52,11.28,Low Demand
CERISE+GOLD CHRISTMAS TREE DEC,36,13.68,9,1.44,2.16,Low Demand
CHALKBOARD KITCHEN ORGANISER,168,3286.6,35,6.72,10.08,Low Demand
CHAMBRE HOOK,123,155.07,18,4.92,7.38,Low Demand
CHAMPAGNE TRAY BLANK CARD,10,1.9,4,0.4,0.6000000000000001,Low Demand
CHARLIE & LOLA WASTEPAPER BIN BLUE,1497,2194.75,132,59.88,89.82000000000001,Medium Demand
CHARLIE & LOLA WASTEPAPER BIN FLORA,1746,2651.0,154,69.84,104.76,Medium Demand
CHARLIE + LOLA BISCUITS TINS,1192,3970.2,147,47.68,71.52,Medium Demand
CHARLIE + LOLA RED HOT WATER BOTTLE,2868,5963.200000000001,405,114.72,172.07999999999998,High Demand
CHARLIE AND LOLA CHARLOTTE BAG,2231,2880.55,159,89.24,133.85999999999999,Medium Demand
CHARLIE AND LOLA FIGURES TINS,1921,4863.429999999999,191,76.84,115.26,Medium Demand
CHARLIE AND LOLA TABLE TINS,895,2593.25,100,35.8,53.699999999999996,Medium Demand
CHARLIE LOLA BLUE HOT WATER BOTTLE ,550,1747.94,109,22.0,33.0,Medium Demand
CHARLIE+LOLA MY ROOM DOOR SIGN,844,497.64,87,33.76,50.64,Medium Demand
CHARLIE+LOLA PINK HOT WATER BOTTLE,2329,4889.81,346,93.16,139.74,Medium Demand
CHARLIE+LOLA RED HOT WATER BOTTLE ,734,2303.62,133,29.36,44.04,Medium Demand
"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",1203,685.12,98,48.12,72.17999999999999,Medium Demand
"CHARLOTTE BAG , PINK/WHITE SPOTS",4218,3361.7,262,168.72,253.07999999999998,High Demand
"CHARLOTTE BAG , SUKI DESIGN",4075,3236.25,234,163.0,244.5,High Demand
CHARLOTTE BAG ALPHABET  DESIGN,400,320.5,22,16.0,24.0,Low Demand
CHARLOTTE BAG APPLES DESIGN,7039,5632.15,425,281.56,422.34000000000003,High Demand
CHARLOTTE BAG DOLLY GIRL DESIGN,8143,6458.49,536,325.72,488.58000000000004,High Demand
CHARLOTTE BAG PINK POLKADOT,8535,6880.09,600,341.4,512.0999999999999,High Demand
CHARLOTTE BAG PINK WITH WHITE SPOTS,3958,3156.3,246,158.32,237.48,High Demand
CHARLOTTE BAG SUKI DESIGN,15736,12531.9,957,629.44,944.1600000000001,High Demand
CHARLOTTE BAG VINTAGE ALPHABET ,4752,3786.22,323,190.08,285.12,High Demand
CHERRY BLOSSOM  DECORATIVE FLASK,757,2792.67,215,30.28,45.42,Medium Demand
CHERRY BLOSSOM BATHROOM CABINET,192,950.4,50,7.68,11.52,Low Demand
CHERRY BLOSSOM CANVAS ART PICTURE,54,201.3,12,2.16,3.24,Low Demand
CHERRY BLOSSOM DECORATIVE FLASK,780,2831.4,188,31.2,46.8,Medium Demand
CHERRY BLOSSOM LUGGAGE TAG,1927,428.89,31,77.08,115.62,Medium Demand
CHERRY BLOSSOM PASSPORT COVER,190,240.38,44,7.6,11.399999999999999,Low Demand
CHERRY BLOSSOM PHOTO FRAME ,10,46.5,3,0.4,0.6000000000000001,Low Demand
CHERRY BLOSSOM PURSE,21,61.95,9,0.84,1.26,Low Demand
CHERRY BLOSSOM TABLE CLOCK ,218,495.09999999999997,14,8.72,13.080000000000002,Low Demand
CHERRY CROCHET FOOD COVER,957,2927.77,212,38.28,57.42,Medium Demand
CHERRY DESIGN PAPERLANTERNS,1065,2002.3899999999999,97,42.6,63.900000000000006,Medium Demand
CHERUB HEART DECORATION GOLD,719,620.45,59,28.76,43.14,Medium Demand
CHERUB HEART DECORATION SILVER ,1297,1090.43,69,51.88,77.82000000000001,Medium Demand
CHEST 7 DRAWER MA CAMPAGNE,50,1196.5,31,2.0,3.0,Low Demand
CHEST NATURAL WOOD 20 DRAWERS,32,3655.0,18,1.28,1.92,Low Demand
CHEST OF DRAWERS GINGHAM HEART ,228,3812.94,125,9.12,13.68,Low Demand
CHICK GREY HOT WATER BOTTLE,4274,14692.92,676,170.96,256.44,High Demand
